1000100000,00,8
1000100000,10,8
1000100000,11,8
1000100000,01,8
0001000111,00,8
0001000111,10,8
0001000111,11,8
0001000111,01,8
1001001011,00,8
1001001011,10,8
1001001011,11,8
1001001011,01,8
0100101011,00,8
0100101011,10,8
0100101011,11,8
0100101011,01,8
0111001111,00,8
0111001111,10,8
0111001111,11,8
0111001111,01,8
1000100011,00,8
1000100011,10,8
1000100011,11,8
1000100011,01,8
1001000010,00,8
1001000010,10,8
1001000010,11,8
1001000010,01,8
1100110110,00,8
1100110110,10,8
1100110110,11,8
1100110110,01,8
0100111000,00,8
0100111000,10,8
0100111000,11,8
0100111000,01,8
0100101110,00,8
0100101110,10,8
0100101110,11,8
0100101110,01,8
1001010001,00,8
1001010001,10,8
1001010001,11,8
1001010001,01,8
1101010110,00,8
1101010110,10,8
1101010110,11,8
1101010110,01,8
0010100011,00,8
0010100011,10,8
0010100011,11,8
0010100011,01,8
1100100110,00,8
1100100110,10,8
1100100110,11,8
1100100110,01,8
1110000110,00,8
1110000110,10,8
1110000110,11,8
1110000110,01,8
0001011100,00,8
0001011100,10,8
0001011100,11,8
0001011100,01,8
1101110101,00,8
1101110101,10,8
1101110101,11,8
1101110101,01,8
1100000111,00,8
1100000111,10,8
1100000111,11,8
1100000111,01,8
0001000010,00,8
0001000010,10,8
0001000010,11,8
0001000010,01,8
0110101110,00,8
0110101110,10,8
0110101110,11,8
0110101110,01,8
1100010100,00,8
1100010100,10,8
1100010100,11,8
1100010100,01,8
1100110100,00,8
1100110100,10,8
1100110100,11,8
1100110100,01,8
0100111111,00,8
0100111111,10,8
0100111111,11,8
0100111111,01,8
1010001011,00,8
1010001011,10,8
1010001011,11,8
1010001011,01,8
1111000000,00,8
1111000000,10,8
1111000000,11,8
1111000000,01,9
0011100101,00,8
0011100101,10,8
0011100101,11,8
0011100101,01,8
0001110011,00,8
0001110011,10,8
0001110011,11,8
0001110011,01,8
1001111000,00,8
1001111000,10,8
1001111000,11,8
1001111000,01,8
1011101100,00,8
1011101100,10,8
1011101100,11,8
1011101100,01,8
0000000000,00,8
0000000000,10,9
0000000000,11,10
0000000000,01,9
1101000100,00,8
1101000100,10,8
1101000100,11,8
1101000100,01,8
1111110011,00,8
1111110011,10,8
1111110011,11,8
1111110011,01,8
0101001100,00,8
0101001100,10,8
0101001100,11,8
0101001100,01,8
0101101100,00,8
0101101100,10,8
0101101100,11,8
0101101100,01,8
1000010110,00,8
1000010110,10,8
1000010110,11,8
1000010110,01,8
1011000001,00,8
1011000001,10,8
1011000001,11,8
1011000001,01,8
1001111011,00,8
1001111011,10,8
1001111011,11,8
1001111011,01,8
1010000010,00,8
1010000010,10,8
1010000010,11,8
1010000010,01,8
1001010101,00,8
1001010101,10,8
1001010101,11,8
1001010101,01,8
1110100111,00,8
1110100111,10,8
1110100111,11,8
1110100111,01,8
0001001010,00,8
0001001010,10,8
0001001010,11,8
0001001010,01,8
0101001011,00,8
0101001011,10,8
0101001011,11,8
0101001011,01,8
0010110001,00,8
0010110001,10,8
0010110001,11,8
0010110001,01,8
0010010010,00,8
0010010010,10,8
0010010010,11,8
0010010010,01,8
1110100001,00,8
1110100001,10,8
1110100001,11,8
1110100001,01,8
0110100010,00,8
0110100010,10,8
0110100010,11,8
0110100010,01,8
0100100010,00,8
0100100010,10,8
0100100010,11,8
0100100010,01,8
0110111100,00,8
0110111100,10,8
0110111100,11,8
0110111100,01,8
0110101011,00,8
0110101011,10,8
0110101011,11,8
0110101011,01,8
0100011000,00,8
0100011000,10,8
0100011000,11,8
0100011000,01,8
1111100000,00,8
1111100000,10,8
